date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2003-04-01,CZE,CZK,Czech Republic,56.57,28.9,1.95743944636678,-0.20429,-0.34336,-0.37744,-0.10346,0.63713,11528.6897648931,2.04650162435817,0.07357,-0.25057,-0.26815,0.218,0.43915
2003-04-01,DNK,DKK,Denmark,27.75,6.78,4.0929203539823,0.66379,0.373,0.30174,0.87462,2.42317,23308.0372540541,2.36515875552694,0.94235,0.35591,0.32409,1.20365,1.60377
2003-04-01,EGY,EGP,Egypt,8,5.92,1.35135135135135,-0.45067,-0.54668,-0.57021,-0.38106,0.13022,1839.4773,1.78438722029728,-0.14997,-0.40662,-0.42054,-0.03562,0.13949
2003-04-01,EUZ,EUR,Euro area,2.71,0.909090909,2.9810000002981,0.21179,0,-0.05191,0.36534,1.4932,22219.3753334574,2.33570806780852,0.43251,0,-0.02346,0.62523,0.92032
2003-04-01,GBR,GBP,Britain,1.99,0.632911392,3.14420000201229,0.27813,0.05475,0,0.44009,1.62969,24809.384321608,2.40577347971906,0.46693,0.02403,0,0.66428,0.96646
2003-04-01,HKG,HKD,Hong Kong,11.5,7.8,1.47435897435897,-0.40067,-0.50541,-0.53109,-0.32472,0.2331,41261.7019304348,2.85084468040571,-0.41953,-0.59478,-0.60429,-0.34143,-0.22186
2003-04-01,HUN,HUF,Hungary,490,224,2.1875,-0.11077,-0.26619,-0.30427,0.00191,0.82955,8605.47892163265,1.96742237298436,0.24797,-0.12882,-0.14926,0.41586,0.67294
2003-04-01,IDN,IDR,Indonesia,16100,8740,1.84210526315789,-0.25118,-0.38205,-0.41413,-0.15629,0.54067,1426.83995590062,1.77322447699552,0.16602,-0.18603,-0.20513,0.32288,0.56308
2003-04-01,JPN,JPY,Japan,262,120,2.18333333333333,-0.11247,-0.26758,-0.3056,0,0.82606,38653.7031091603,2.78029260413463,-0.11858,-0.3847,-0.39914,0,0.18157
2003-04-01,KOR,KRW,South Korea,3300,1220,2.70491803278689,0.09956,-0.09261,-0.13971,0.23889,1.2623,12723.8100523636,2.07883224390712,0.46045,0.01951,-0.00441,0.65693,0.95779
2003-04-01,MEX,MXN,Mexico,23,10.53,2.18423551756885,-0.1121,-0.26728,-0.30531,0.00041,0.82682,8194.6963826087,1.95630980621952,0.25319,-0.12518,-0.14571,0.42178,0.67993
2003-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,-0.46085,-0.55508,-0.57817,-0.39253,0.10928,8238.52535714286,1.95749547590962,-0.2395,-0.46911,-0.48157,-0.13719,0.01948
2003-04-01,NZL,NZD,New Zealand,3.95,1.78,2.21910112359551,-0.09793,-0.25558,-0.29422,0.01638,0.85598,21071.7870379747,2.30466329267663,0.08074,-0.24556,-0.26326,0.22614,0.44877
2003-04-01,PER,PEN,Peru,7.9,3.46,2.28323699421965,-0.07185,-0.23407,-0.27383,0.04576,0.90962,2188.38486075949,1.79382593347363,0.42864,-0.0027,-0.0261,0.62084,0.91514
2003-04-01,PHL,PHP,Philippines,65,52.5,1.23809523809524,-0.49671,-0.58467,-0.60623,-0.43293,0.0355,2051.22634153846,1.79011549532835,-0.22371,-0.45809,-0.4708,-0.11927,0.04065
2003-04-01,POL,PLN,Poland,6.3,3.89,1.61953727506427,-0.34165,-0.45671,-0.48491,-0.25823,0.35452,8319.19285714286,1.95967770834246,-0.0724,-0.35247,-0.36766,0.05239,0.24347
2003-04-01,RUS,RUB,Russia,41,31.1,1.31832797427653,-0.46409,-0.55776,-0.58071,-0.39619,0.1026,4791.7212,1.86425187940087,-0.20627,-0.44592,-0.45892,-0.09949,0.06402
2003-04-01,SGP,SGD,Singapore,3.3,1.78,1.85393258426966,-0.24637,-0.37808,-0.41036,-0.15087,0.55056,29578.9952727273,2.53480189524661,-0.17908,-0.42693,-0.44038,-0.06863,0.10048
2003-04-01,SWE,SEK,Sweden,30,8.34,3.59712230215827,0.46224,0.20668,0.14405,0.64754,2.0085,23877.33154,2.38055941198242,0.69601,0.18395,0.15617,0.92418,1.27356
2003-04-01,THA,THB,Thailand,59,42.7,1.38173302107728,-0.43832,-0.53649,-0.56055,-0.36715,0.15563,3754.72885423729,1.83619896677147,-0.15539,-0.4104,-0.42423,-0.04176,0.13223
2003-04-01,TUR,TRY,Turkey,3750000,1600500,2.34301780693533,-0.04755,-0.21402,-0.25481,0.07314,0.95961,0.00359898656,1.73462543060862,0.51608,0.05834,0.03351,0.72005,1.03236
2003-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,-0.18232,-0.32523,-0.36025,-0.0787,0.68234,16589.1523285714,2.18339821259555,0.03404,-0.27816,-0.2951,0.17316,0.38617
2003-04-01,USA,USD,United States,2.46,1,2.46,0,-0.17477,-0.21761,0.12672,1.05745,37945.76,2.761141193549,0,-0.30192,-0.3183,0.13453,0.34053
2003-04-01,VEN,VEF,Venezuela,3700,1598,2.3153942428035,-0.05878,-0.22328,-0.2636,0.06049,0.93651,,,,,,,
2003-04-01,ZAF,ZAR,South Africa,13.95,7.56,1.8452380952381,-0.2499,-0.381,-0.41313,-0.15485,0.54329,5152.0776344086,1.8740003096677,0.10519,-0.22849,-0.2466,0.25387,0.48154
2004-05-01,ARG,ARS,Argentina,4.36,2.95,1.47796610169492,-0.40163,-0.5505,-0.56081,-0.36256,0.17669,6287.37933486239,2.11333486916689,-0.18987,-0.47224,-0.46021,-0.14176,0.12978
2004-05-01,AUS,AUD,Australia,3.25,1.43,2.27272727272727,-0.07987,-0.30878,-0.32464,-0.01978,0.80944,31822.0816,2.68998853330619,-0.02129,-0.36241,-0.34789,0.03684,0.36488
2004-05-01,BRA,BRL,Brazil,5.4,3.18,1.69811320754717,-0.3125,-0.48354,-0.49539,-0.26761,0.35196,4332.41659259259,2.06918567890494,-0.04934,-0.38069,-0.36658,0.00712,0.32576
2004-05-01,CAN,CAD,Canada,3.19,1.37,2.32846715328467,-0.0573,-0.29183,-0.30807,0.00426,0.85382,30743.2692476489,2.66562556680506,0.01188,-0.3408,-0.32579,0.07198,0.41114
2004-05-01,CHE,CHF,Switzerland,6.3,1.29,4.88372093023256,0.97721,0.48532,0.45124,1.10634,2.88819,26141.0881746032,2.56169388390356,1.20842,0.43869,0.47146,1.33958,2.0798
2004-05-01,CHL,CLP,Chile,1400,641,2.18408736349454,-0.11575,-0.33574,-0.35098,-0.05801,0.73887,5885.48632471429,2.10425886450125,0.20234,-0.21673,-0.19888,0.27375,0.67675
2004-05-01,CHN,CNY,China,10.4,8.28,1.256038647343,-0.49148,-0.61799,-0.62676,-0.45827,0,2557.031875,2.02909192366839,-0.28293,-0.53286,-0.52222,-0.24035,0
